Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
kota banda aceh - jaya baru,6,0.00,7.61,7.93,0.00,2.86,12.79,7.27,7.77,5.85,90.41,6,
kota banda aceh - ulee kareng,6,0.00,7.61,6.22,0.00,2.27,13.16,12.55,10.17,23.07,87.66,9,
kota sabang - sukakarya,4,0.00,15.32,33.82,0.00,2.93,10.90,33.64,14.04,11.76,56.13,20,
kota sabang - sukajaya,5,0.00,15.32,19.23,0.00,2.81,11.15,36.04,8.07,11.86,66.40,16,
kota lhokseumawe - muara dua,6,0.00,11.16,22.46,0.00,2.57,11.93,20.72,12.56,11.38,72.63,13,
kota lhokseumawe - banda sakti,6,0.00,11.16,9.46,0.00,2.24,11.88,2.25,8.44,6.70,83.36,10,
kota lhokseumawe - blang mangat,4,0.00,11.16,37.94,0.00,3.71,10.28,23.48,16.89,13.25,57.17,19,
kota lhokseumawe - muara satu,6,0.00,11.16,34.62,0.00,3.02,11.25,26.62,7.07,17.43,71.52,15,
kota langsa - langsa timur,4,0.00,10.96,18.19,0.00,3.50,9.77,85.97,18.21,2.56,57.25,18,
kota langsa - langsa barat,5,0.00,10.96,18.89,0.00,4.66,10.97,38.11,11.98,1.68,65.46,17,
kota langsa - langsa kota,6,0.00,10.96,12.19,0.00,3.27,11.30,3.97,10.12,0.62,77.54,11,
kota langsa - langsa lama,6,0.00,10.96,12.59,0.00,3.50,11.07,37.21,11.85,1.16,71.59,14,
kota langsa - langsa baro,6,0.00,10.96,7.41,0.00,2.46,11.61,55.58,13.51,2.14,73.99,12,
kota subulussalam - simpang kiri,3,0.00,17.65,23.58,0.00,3.83,9.57,100.00,9.34,23.36,45.98,22,
kota subulussalam - penanggalan,4,0.00,17.65,26.40,0.00,2.95,9.47,92.08,7.83,25.04,50.39,21,
kota subulussalam - rundeng,2,0.00,17.65,26.36,0.00,5.47,9.07,100.00,9.50,48.13,34.21,23,
kota subulussalam - sultan daulat,1,0.00,17.65,56.52,0.00,4.10,8.65,100.00,12.06,35.94,18.61,25,
kota subulussalam - longkib,2,0.00,17.65,21.63,0.00,6.83,8.67,100.00,9.46,31.95,32.42,24,

